transaction_id,user_query,item,amount,prior_fraud_flag
T0001,I want a refund for last week’s order,Webcam,183.22,No
T0002,Order was missing,Noise Cancelling Headphones,59.18,No
T0003,Wrong product received,Smartwatch Strap,34.76,Yes
T0004,Wrong product received,Gaming Mouse,150.86,Yes
T0005,Order was missing,USB-C Charger,90.92,Yes
T0006,I didn’t receive my order,Bluetooth Speaker,242.49,No
T0007,Order was missing,Smartphone Cover,25.31,Yes
T0008,"No delivery, please refund",Portable SSD,51.97,No
T0009,Item is damaged,Laptop Stand,179.54,Yes
T0010,"No delivery, please refund",Laptop Stand,152.31,No
T0011,I want a refund for last week’s order,Smartwatch Strap,171.94,Yes
T0012,I didn’t receive my order,Bluetooth Speaker,205.98,No
T0013,Wrong product received,Wireless Earbuds,201.66,Yes
T0014,Never got tracking update,Gaming Mouse,112.04,No
T0015,Never got tracking update,Gaming Mouse,266.35,No
T0016,Item is damaged,Portable SSD,214.79,No
T0017,Package lost in transit,Webcam,134.35,No
T0018,Order was missing,Gaming Mouse,187.19,No
T0019,Item is damaged,Smartphone Cover,276.84,Yes
T0020,I didn’t receive my order,Gaming Mouse,251.7,Yes
T0021,Wrong product received,Laptop Stand,272.22,No
T0022,Need a refund urgently,Gaming Mouse,265.37,Yes
T0023,Item is damaged,Smartwatch Strap,165.62,No
T0024,I want a refund for last week’s order,Noise Cancelling Headphones,61.91,No
T0025,Item is damaged,Bluetooth Speaker,119.45,No
T0026,Need a refund urgently,Noise Cancelling Headphones,264.68,Yes
T0027,I didn’t receive my order,Noise Cancelling Headphones,223.67,Yes
T0028,"No delivery, please refund",Gaming Mouse,69.92,Yes
T0029,I didn’t receive my order,Portable SSD,184.12,Yes
T0030,Package lost in transit,Laptop Stand,26.59,Yes
T0031,Never got tracking update,Smartphone Cover,126.65,No
T0032,Delivered but empty box,Noise Cancelling Headphones,220.36,No
T0033,Need a refund urgently,Smartphone Cover,64.35,No
T0034,Item is damaged,Laptop Stand,139.99,Yes
T0035,I want a refund for last week’s order,Smartwatch Strap,262.07,No
T0036,Order was missing,Bluetooth Speaker,29.23,Yes
T0037,I didn’t receive my order,Webcam,66.87,Yes
T0038,I didn’t receive my order,Portable SSD,149.34,No
T0039,Package lost in transit,Webcam,182.25,No
T0040,I didn’t receive my order,Webcam,58.54,Yes
T0041,Need a refund urgently,Webcam,295.53,Yes
T0042,Never got tracking update,Bluetooth Speaker,297.19,No
T0043,Delivered but empty box,Webcam,165.68,Yes
T0044,Delivered but empty box,Smartwatch Strap,239.48,Yes
T0045,Package lost in transit,Smartphone Cover,261.8,Yes
T0046,Need a refund urgently,USB-C Charger,132.36,No
T0047,I want a refund for last week’s order,Smartphone Cover,199.24,Yes
T0048,Package lost in transit,Noise Cancelling Headphones,283.18,No
T0049,Item is damaged,Portable SSD,185.41,Yes
